,Unnamed: 0,Day,Province,Death,Cases,DayStandard
0,1,7,Bali,0.0,0.0,2020.1966074681288
1,2,7,Jakarta,0.71,0.71,2020.1966074681288
2,3,7,Jawa.Barat,0.14,0.14,2020.1966074681288
3,4,7,Jawa.Tengah,0.0,0.0,2020.1966074681288
4,5,7,Jawa.Timur,0.0,0.0,2020.1966074681288
5,6,7,Kalimantan.Selatan,0.0,0.0,2020.1966074681288
6,7,8,Bali,0.0,0.0,2020.199339708566
7,8,8,Jakarta,0.57,0.57,2020.199339708566
8,9,8,Jawa.Barat,0.14,0.14,2020.199339708566
9,10,8,Jawa.Tengah,0.0,0.0,2020.199339708566
10,11,8,Jawa.Timur,0.0,0.0,2020.199339708566
11,12,8,Kalimantan.Selatan,0.0,0.0,2020.199339708566
12,13,9,Bali,0.0,0.0,2020.202071949003
13,14,9,Jakarta,1.0,1.0,2020.202071949003
14,15,9,Jawa.Barat,0.14,0.14,2020.202071949003
15,16,9,Jawa.Tengah,0.0,0.0,2020.202071949003
16,17,9,Jawa.Timur,0.0,0.0,2020.202071949003
17,18,9,Kalimantan.Selatan,0.0,0.0,2020.202071949003
18,19,10,Bali,0.0,0.0,2020.2048041894402
19,20,10,Jakarta,1.29,1.29,2020.2048041894402
20,21,10,Jawa.Barat,0.14,0.14,2020.2048041894402
21,22,10,Jawa.Tengah,0.0,0.0,2020.2048041894402
22,23,10,Jawa.Timur,0.0,0.0,2020.2048041894402
23,24,10,Kalimantan.Selatan,0.0,0.0,2020.2048041894402
24,25,11,Bali,0.0,0.0,2020.2075364298773
25,26,11,Jakarta,1.43,1.43,2020.2075364298773
26,27,11,Jawa.Barat,0.14,0.14,2020.2075364298773
27,28,11,Jawa.Tengah,0.0,0.0,2020.2075364298773
28,29,11,Jawa.Timur,0.0,0.0,2020.2075364298773
29,30,11,Kalimantan.Selatan,0.0,0.0,2020.2075364298773
30,31,12,Bali,0.0,0.0,2020.2102686703145
31,32,12,Jakarta,1.57,1.57,2020.2102686703145
32,33,12,Jawa.Barat,0.14,0.14,2020.2102686703145
33,34,12,Jawa.Tengah,0.14,0.14,2020.2102686703145
34,35,12,Jawa.Timur,0.0,0.0,2020.2102686703145
35,36,12,Kalimantan.Selatan,0.0,0.0,2020.2102686703145
36,37,13,Bali,0.0,0.0,2020.2130009107516
37,38,13,Jakarta,1.43,1.43,2020.2130009107516
38,39,13,Jawa.Barat,0.29,0.29,2020.2130009107516
39,40,13,Jawa.Tengah,0.14,0.14,2020.2130009107516
40,41,13,Jawa.Timur,0.0,0.0,2020.2130009107516
41,42,13,Kalimantan.Selatan,0.0,0.0,2020.2130009107516
42,43,14,Bali,0.0,0.0,2020.2157331511887
43,44,14,Jakarta,1.71,1.71,2020.2157331511887
44,45,14,Jawa.Barat,0.57,0.57,2020.2157331511887
45,46,14,Jawa.Tengah,0.14,0.14,2020.2157331511887
46,47,14,Jawa.Timur,0.0,0.0,2020.2157331511887
47,48,14,Kalimantan.Selatan,0.0,0.0,2020.2157331511887
48,49,15,Bali,0.0,0.0,2020.2184653916258
49,50,15,Jakarta,2.0,2.0,2020.2184653916258
50,51,15,Jawa.Barat,0.57,0.57,2020.2184653916258
51,52,15,Jawa.Tengah,0.29,0.29,2020.2184653916258
52,53,15,Jawa.Timur,0.0,0.0,2020.2184653916258
53,54,15,Kalimantan.Selatan,0.0,0.0,2020.2184653916258
