"","Day","Province","Death","Cases"
"1",7,"Bali",0,0
"2",7,"Jakarta",0.71,0.71
"3",7,"Jawa.Barat",0.14,0.14
"4",7,"Jawa.Tengah",0,0
"5",7,"Jawa.Timur",0,0
"6",7,"Kalimantan.Selatan",0,0
"7",8,"Bali",0,0
"8",8,"Jakarta",0.57,0.57
"9",8,"Jawa.Barat",0.14,0.14
"10",8,"Jawa.Tengah",0,0
"11",8,"Jawa.Timur",0,0
"12",8,"Kalimantan.Selatan",0,0
"13",9,"Bali",0,0
"14",9,"Jakarta",1,1
"15",9,"Jawa.Barat",0.14,0.14
"16",9,"Jawa.Tengah",0,0
"17",9,"Jawa.Timur",0,0
"18",9,"Kalimantan.Selatan",0,0
"19",10,"Bali",0,0
"20",10,"Jakarta",1.29,1.29
"21",10,"Jawa.Barat",0.14,0.14
"22",10,"Jawa.Tengah",0,0
"23",10,"Jawa.Timur",0,0
"24",10,"Kalimantan.Selatan",0,0
"25",11,"Bali",0,0
"26",11,"Jakarta",1.43,1.43
"27",11,"Jawa.Barat",0.14,0.14
"28",11,"Jawa.Tengah",0,0
"29",11,"Jawa.Timur",0,0
"30",11,"Kalimantan.Selatan",0,0
"31",12,"Bali",0,0
"32",12,"Jakarta",1.57,1.57
"33",12,"Jawa.Barat",0.14,0.14
"34",12,"Jawa.Tengah",0.14,0.14
"35",12,"Jawa.Timur",0,0
"36",12,"Kalimantan.Selatan",0,0
"37",13,"Bali",0,0
"38",13,"Jakarta",1.43,1.43
"39",13,"Jawa.Barat",0.29,0.29
"40",13,"Jawa.Tengah",0.14,0.14
"41",13,"Jawa.Timur",0,0
"42",13,"Kalimantan.Selatan",0,0
"43",14,"Bali",0,0
"44",14,"Jakarta",1.71,1.71
"45",14,"Jawa.Barat",0.57,0.57
"46",14,"Jawa.Tengah",0.14,0.14
"47",14,"Jawa.Timur",0,0
"48",14,"Kalimantan.Selatan",0,0
"49",15,"Bali",0,0
"50",15,"Jakarta",2,2
"51",15,"Jawa.Barat",0.57,0.57
"52",15,"Jawa.Tengah",0.29,0.29
"53",15,"Jawa.Timur",0,0
"54",15,"Kalimantan.Selatan",0,0
"55",16,"Bali",0,0
"56",16,"Jakarta",1.57,1.57
"57",16,"Jawa.Barat",1,1
"58",16,"Jawa.Tengah",0.29,0.29
"59",16,"Jawa.Timur",0,0
"60",16,"Kalimantan.Selatan",0,0
"61",17,"Bali",0,0
"62",17,"Jakarta",1.14,1.14
"63",17,"Jawa.Barat",1.29,1.29
"64",17,"Jawa.Tengah",0.29,0.29
"65",17,"Jawa.Timur",0,0
"66",17,"Kalimantan.Selatan",0,0
"67",18,"Bali",0,0
"68",18,"Jakarta",3.71,3.71
"69",18,"Jawa.Barat",1.43,1.43
"70",18,"Jawa.Tengah",0.43,0.43
"71",18,"Jawa.Timur",0.14,0.14
"72",18,"Kalimantan.Selatan",0,0
"73",19,"Bali",0,0
"74",19,"Jakarta",3.71,3.71
"75",19,"Jawa.Barat",1.29,1.29
"76",19,"Jawa.Tengah",0.43,0.43
"77",19,"Jawa.Timur",0.43,0.43
"78",19,"Kalimantan.Selatan",0,0
"79",20,"Bali",0,0
"80",20,"Jakarta",4,4
"81",20,"Jawa.Barat",1.14,1.14
"82",20,"Jawa.Tengah",0.43,0.43
"83",20,"Jawa.Timur",0.43,0.43
"84",20,"Kalimantan.Selatan",0,0
"85",21,"Bali",0,0
"86",21,"Jakarta",4.57,4.57
"87",21,"Jawa.Barat",1.43,1.43
"88",21,"Jawa.Tengah",0.43,0.43
"89",21,"Jawa.Timur",0.43,0.43
"90",21,"Kalimantan.Selatan",0,0
"91",22,"Bali",0,0
"92",22,"Jakarta",5.43,5.43
"93",22,"Jawa.Barat",1.71,1.71
"94",22,"Jawa.Tengah",0.43,0.43
"95",22,"Jawa.Timur",0.43,0.43
"96",22,"Kalimantan.Selatan",0,0
"97",23,"Bali",0,0
"98",23,"Jakarta",6.86,6.86
"99",23,"Jawa.Barat",1.57,1.57
"100",23,"Jawa.Tengah",0.71,0.71
"101",23,"Jawa.Timur",0.86,0.86
"102",23,"Kalimantan.Selatan",0,0
"103",24,"Bali",0,0
"104",24,"Jakarta",7.86,7.86
"105",24,"Jawa.Barat",1.29,1.29
"106",24,"Jawa.Tengah",0.86,0.86
"107",24,"Jawa.Timur",1,1
"108",24,"Kalimantan.Selatan",0,0
"109",25,"Bali",0,0
"110",25,"Jakarta",6.43,6.43
"111",25,"Jawa.Barat",1.14,1.14
"112",25,"Jawa.Tengah",1,1
"113",25,"Jawa.Timur",1.14,1.14
"114",25,"Kalimantan.Selatan",0,0
"115",26,"Bali",0,0
"116",26,"Jakarta",6.43,6.43
"117",26,"Jawa.Barat",1.14,1.14
"118",26,"Jawa.Tengah",1.86,1.86
"119",26,"Jawa.Timur",0.86,0.86
"120",26,"Kalimantan.Selatan",0,0
"121",27,"Bali",0,0
"122",27,"Jakarta",6.86,6.86
"123",27,"Jawa.Barat",1.71,1.71
"124",27,"Jawa.Tengah",2.14,2.14
"125",27,"Jawa.Timur",1,1
"126",27,"Kalimantan.Selatan",0,0
"127",28,"Bali",0,0
"128",28,"Jakarta",6.71,6.71
"129",28,"Jawa.Barat",1.29,1.29
"130",28,"Jawa.Tengah",2.29,2.29
"131",28,"Jawa.Timur",1,1
"132",28,"Kalimantan.Selatan",0,0
"133",29,"Bali",0,0
"134",29,"Jakarta",6.57,6.57
"135",29,"Jawa.Barat",1.29,1.29
"136",29,"Jawa.Tengah",2.29,2.29
"137",29,"Jawa.Timur",1.43,1.43
"138",29,"Kalimantan.Selatan",0,0
"139",30,"Bali",0,0
"140",30,"Jakarta",6.71,6.71
"141",30,"Jawa.Barat",1,1
"142",30,"Jawa.Tengah",2,2
"143",30,"Jawa.Timur",1.29,1.29
"144",30,"Kalimantan.Selatan",0.14,0.14
"145",31,"Bali",0,0
"146",31,"Jakarta",6.71,6.71
"147",31,"Jawa.Barat",1.14,1.14
"148",31,"Jawa.Tengah",2.43,2.43
"149",31,"Jawa.Timur",1.14,1.14
"150",31,"Kalimantan.Selatan",0.14,0.14
"151",32,"Bali",0,0
"152",32,"Jakarta",7.43,7.43
"153",32,"Jawa.Barat",1.14,1.14
"154",32,"Jawa.Tengah",2.14,2.14
"155",32,"Jawa.Timur",0.86,0.86
"156",32,"Kalimantan.Selatan",0.43,0.43
"157",33,"Bali",0,0
"158",33,"Jakarta",8.43,8.43
"159",33,"Jawa.Barat",1.86,1.86
"160",33,"Jawa.Tengah",1.43,1.43
"161",33,"Jawa.Timur",0.86,0.86
"162",33,"Kalimantan.Selatan",0.43,0.43
"163",34,"Bali",0,0
"164",34,"Jakarta",12.57,12.57
"165",34,"Jawa.Barat",2.14,2.14
"166",34,"Jawa.Tengah",1.29,1.29
"167",34,"Jawa.Timur",1,1
"168",34,"Kalimantan.Selatan",0.57,0.57
"169",35,"Bali",0,0
"170",35,"Jakarta",13.29,13.29
"171",35,"Jawa.Barat",2,2
"172",35,"Jawa.Tengah",1.14,1.14
"173",35,"Jawa.Timur",1.57,1.57
"174",35,"Kalimantan.Selatan",0.57,0.57
"175",36,"Bali",0,0
"176",36,"Jakarta",13.57,13.57
"177",36,"Jawa.Barat",1.86,1.86
"178",36,"Jawa.Tengah",1.14,1.14
"179",36,"Jawa.Timur",1.57,1.57
"180",36,"Kalimantan.Selatan",0.71,0.71
"181",37,"Bali",0,0
